
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月07日","2026年05月07日","7","1","7"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/07","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,6269,--,--,"2026/05/11",2800
"2026/05/07","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,6298,--,--,"2026/05/11",4300
"2026/05/07","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,6297,--,--,"2026/05/11",4200
"2026/05/07","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5937,165,--,"2026/05/11",54335
"2026/05/07","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,5971,330,--,"2026/05/11",115470
"2026/05/07","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5932,165,--,"2026/05/11",53835
"2026/05/07","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",400,6255,--,--,"2026/05/11",--


