
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月22日","2026年05月22日","8","1","8"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/22","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,18535,--,--,"2026/05/26",25500
"2026/05/22","ＪＸ金属","5016","東証",信用返済売,"日計り"," 特定 ","申告",100,4091,--,--,"2026/05/26",6100
"2026/05/22","ＪＸ金属","5016","東証",信用返済売,"日計り"," 特定 ","申告",100,4085,--,--,"2026/05/26",5600
"2026/05/22","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4781,--,--,"2026/05/26",12500
"2026/05/22","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,18280,--,--,"2026/05/26",--
"2026/05/22","ＪＸ金属","5016","東証",信用新規買,"日計り"," 特定 ","--",100,4030,--,--,"2026/05/26",--
"2026/05/22","ＪＸ金属","5016","東証",信用新規買,"日計り"," 特定 ","--",100,4029,--,--,"2026/05/26",--
"2026/05/22","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",100,4656,--,--,"2026/05/26",--


