
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年04月27日","2026年04月27日","47","1","47"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/04/27","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,7897,--,--,"2026/04/30",--
"2026/04/27","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,7895,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5893,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",200,5883,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",200,5892,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",200,5884,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5947,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5947,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5895,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",300,5967,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5897,--,--,"2026/04/30",--
"2026/04/27","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,29770,--,--,"2026/04/30",23000
"2026/04/27","アドバンテスト","6857","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,31440,240,--,"2026/04/30",5530
"2026/04/27","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,31440,--,--,"2026/04/30",-8000
"2026/04/27","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,29965,--,--,"2026/04/30",-11500
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,5915,--,--,"2026/04/30",-9200
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5915,--,--,"2026/04/30",-2900
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5915,--,--,"2026/04/30",-3100
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,5964,--,--,"2026/04/30",9400
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5915,--,--,"2026/04/30",-4900
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5969,--,--,"2026/04/30",5100
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5965,--,--,"2026/04/30",4800
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,5967,--,--,"2026/04/30",10400
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",400,5968,--,--,"2026/04/30",27200
"2026/04/27","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,29540,--,--,"2026/04/30",--
"2026/04/27","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,31520,--,--,"2026/04/30",--
"2026/04/27","アドバンテスト","6857","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",100,31382.3,--,--,"2026/04/30",--
"2026/04/27","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,30080,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,5964,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,5915,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,5918,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,5961,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,5946,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,5944,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",400,5900,--,--,"2026/04/30",--
"2026/04/27","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",300,5917,--,--,"2026/04/30",--
"2026/04/27","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",200,7902,--,--,"2026/04/30",-1000
"2026/04/27","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",100,7902,--,--,"2026/04/30",-700
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5959,--,--,"2026/04/30",-1200
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5959,--,--,"2026/04/30",-1200
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",200,5939,--,--,"2026/04/30",-9400
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",200,5907,--,--,"2026/04/30",-4800
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",200,5907,--,--,"2026/04/30",-4600
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",300,5922,--,--,"2026/04/30",13500
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5939,--,--,"2026/04/30",-4600
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5939,--,--,"2026/04/30",-4400
"2026/04/27","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5939,--,--,"2026/04/30",-4200


