
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月14日","2026年05月14日","30","1","30"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/14","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,7613,--,--,"2026/05/18",--
"2026/05/14","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,7603,--,--,"2026/05/18",--
"2026/05/14","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,7652,--,--,"2026/05/18",--
"2026/05/14","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,7640,--,--,"2026/05/18",--
"2026/05/14","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5967,--,--,"2026/05/18",--
"2026/05/14","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,7807,--,--,"2026/05/18",15100
"2026/05/14","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,7716,--,--,"2026/05/18",1500
"2026/05/14","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,7618,--,--,"2026/05/18",-2200
"2026/05/14","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,7708,--,--,"2026/05/18",700
"2026/05/14","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,7617,--,--,"2026/05/18",-4600
"2026/05/14","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,7883,--,--,"2026/05/18",22700
"2026/05/14","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,7883,--,--,"2026/05/18",22600
"2026/05/14","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5934,--,--,"2026/05/18",-3700
"2026/05/14","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5933,--,--,"2026/05/18",-3800
"2026/05/14","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,6183,--,--,"2026/05/18",9700
"2026/05/14","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5934,--,--,"2026/05/18",-5200
"2026/05/14","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,6048,--,--,"2026/05/18",-2800
"2026/05/14","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",200,7701,--,--,"2026/05/18",--
"2026/05/14","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",200,7656,--,--,"2026/05/18",--
"2026/05/14","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",300,7640,--,--,"2026/05/18",--
"2026/05/14","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",100,7657,--,--,"2026/05/18",--
"2026/05/14","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,5986,--,--,"2026/05/18",--
"2026/05/14","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,6086,--,--,"2026/05/18",--
"2026/05/14","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,5971,--,--,"2026/05/18",--
"2026/05/14","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,6076,--,--,"2026/05/18",--
"2026/05/14","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,7660,--,--,"2026/05/18",-5700
"2026/05/14","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,7660,--,--,"2026/05/18",-9400
"2026/05/14","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,7716,--,--,"2026/05/18",-6400
"2026/05/14","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,7716,--,--,"2026/05/18",-15200
"2026/05/14","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5978,--,--,"2026/05/18",-1100


