
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年06月03日","2026年06月03日","19","1","19"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/06/03","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",200,8529,--,--,"2026/06/05",--
"2026/06/03","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,21880,--,--,"2026/06/05",-20500
"2026/06/03","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4913,--,--,"2026/06/05",800
"2026/06/03","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,4922,--,--,"2026/06/05",3400
"2026/06/03","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,5042,--,--,"2026/06/05",17000
"2026/06/03","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4966,--,--,"2026/06/05",8700
"2026/06/03","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4966,--,--,"2026/06/05",6100
"2026/06/03","村田製作所","6981","東証",信用返済売,"日計り"," 特定 ","申告",100,10765,--,--,"2026/06/05",17000
"2026/06/03","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,8532,--,--,"2026/06/05",-7000
"2026/06/03","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,8532,--,--,"2026/06/05",-3700
"2026/06/03","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,22085,--,--,"2026/06/05",--
"2026/06/03","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",400,4905,--,--,"2026/06/05",--
"2026/06/03","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",100,4872,--,--,"2026/06/05",--
"2026/06/03","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",100,4879,--,--,"2026/06/05",--
"2026/06/03","村田製作所","6981","東証",信用新規買,"日計り"," 特定 ","--",100,10595,--,--,"2026/06/05",--
"2026/06/03","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,8602,--,--,"2026/06/05",--
"2026/06/03","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,8569,--,--,"2026/06/05",--
"2026/06/03","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,8386,--,--,"2026/06/05",14300
"2026/06/03","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,8407,--,--,"2026/06/05",12200


