
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月15日","2026年05月15日","17","1","17"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/15","イビデン","4062","東証",信用新規売,"日計り"," 特定 ","--",100,16490,--,--,"2026/05/19",--
"2026/05/15","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,6500,--,--,"2026/05/19",--
"2026/05/15","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",400,6537,--,--,"2026/05/19",--
"2026/05/15","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",200,5901,--,--,"2026/05/19",--
"2026/05/15","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",200,5921,--,--,"2026/05/19",--
"2026/05/15","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,6492,--,--,"2026/05/19",-1900
"2026/05/15","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",400,6492,--,--,"2026/05/19",-15200
"2026/05/15","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",300,6609,--,--,"2026/05/19",29100
"2026/05/15","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,6557,--,--,"2026/05/19",9000
"2026/05/15","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",500,6512,--,--,"2026/05/19",--
"2026/05/15","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",400,6530,--,--,"2026/05/19",--
"2026/05/15","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",100,6511,--,--,"2026/05/19",--
"2026/05/15","イビデン","4062","東証",信用返済買,"日計り"," 特定 ","申告",100,16295,--,--,"2026/05/19",19500
"2026/05/15","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,6528,--,--,"2026/05/19",-5600
"2026/05/15","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",400,6533,--,--,"2026/05/19",1600
"2026/05/15","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",200,5925,--,--,"2026/05/19",-4800
"2026/05/15","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",200,5925,--,--,"2026/05/19",-800


