
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月26日","2026年05月26日","12","1","12"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/26","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,5274,--,--,"2026/05/28",--
"2026/05/26","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,5275,--,--,"2026/05/28",--
"2026/05/26","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,11390,--,--,"2026/05/28",9000
"2026/05/26","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,11490,--,--,"2026/05/28",7500
"2026/05/26","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,11645,--,--,"2026/05/28",14000
"2026/05/26","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,11410,--,--,"2026/05/28",3500
"2026/05/26","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,11505,--,--,"2026/05/28",--
"2026/05/26","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,11375,--,--,"2026/05/28",--
"2026/05/26","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,11300,--,--,"2026/05/28",--
"2026/05/26","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,11415,--,--,"2026/05/28",--
"2026/05/26","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,5260,--,--,"2026/05/28",1500
"2026/05/26","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,5249,--,--,"2026/05/28",2500


