
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月18日","2026年05月18日","16","1","16"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/18","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,5725,--,--,"2026/05/20",--
"2026/05/18","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,5685,--,--,"2026/05/20",--
"2026/05/18","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",400,5724,--,--,"2026/05/20",--
"2026/05/18","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",400,7270,--,--,"2026/05/20",--
"2026/05/18","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7282,--,--,"2026/05/20",-400
"2026/05/18","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7282,--,--,"2026/05/20",-500
"2026/05/18","任天堂","7974","東証",信用新規買,"日計り"," 特定 ","--",100,7286,--,--,"2026/05/20",--
"2026/05/18","任天堂","7974","東証",信用新規買,"日計り"," 特定 ","--",100,7287,--,--,"2026/05/20",--
"2026/05/18","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,5705,--,--,"2026/05/20",1900
"2026/05/18","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,5616,--,--,"2026/05/20",6900
"2026/05/18","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,5653,--,--,"2026/05/20",3200
"2026/05/18","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,5666,--,--,"2026/05/20",11600
"2026/05/18","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,5665,--,--,"2026/05/20",5900
"2026/05/18","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,5705,--,--,"2026/05/20",2000
"2026/05/18","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",100,7270,--,--,"2026/05/20",--
"2026/05/18","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",300,7269,--,--,"2026/05/20",300


