
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月11日","2026年05月11日","111","1","111"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/11","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",300,6798,--,--,"2026/05/13",--
"2026/05/11","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,6668,--,--,"2026/05/13",--
"2026/05/11","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,6673,--,--,"2026/05/13",--
"2026/05/11","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,6671,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,7150,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,7128,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,6978,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,7178,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,6930,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,6955,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,7168,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",300,7195,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,7151,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",300,6939,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,6985,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,6947,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,7006,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,7168,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,6981,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",300,6977,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",300,7200,--,--,"2026/05/13",--
"2026/05/11","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,7007,--,--,"2026/05/13",--
"2026/05/11","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5773,--,--,"2026/05/13",--
"2026/05/11","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,6140,--,--,"2026/05/13",--
"2026/05/11","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",400,6136,--,--,"2026/05/13",--
"2026/05/11","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",300,5775,--,--,"2026/05/13",--
"2026/05/11","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5774,--,--,"2026/05/13",--
"2026/05/11","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,6781,--,--,"2026/05/13",600
"2026/05/11","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,6790,--,--,"2026/05/13",2400
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7011,--,--,"2026/05/13",-300
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",200,7000,--,--,"2026/05/13",1600
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",200,7163,--,--,"2026/05/13",-5600
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7264,--,--,"2026/05/13",7300
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7264,--,--,"2026/05/13",7300
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,6975,--,--,"2026/05/13",1600
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",200,7254,--,--,"2026/05/13",11000
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",200,7012,--,--,"2026/05/13",-600
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",200,6990,--,--,"2026/05/13",-400
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",200,7171,--,--,"2026/05/13",-8400
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",200,7000,--,--,"2026/05/13",-200
"2026/05/11","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",400,7200,--,--,"2026/05/13",75200
