
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月12日","2026年05月12日","27","1","27"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/12","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,7020,--,--,"2026/05/14",--
"2026/05/12","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,7005,--,--,"2026/05/14",--
"2026/05/12","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5875,--,--,"2026/05/14",--
"2026/05/12","ソフトバンクグループ","9984","東証",信用新規売,"6ヶ月"," 特定 ","--",200,5900,--,--,"2026/05/14",--
"2026/05/12","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5876,--,--,"2026/05/14",--
"2026/05/12","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,16120,--,--,"2026/05/14",10000
"2026/05/12","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,15970,--,--,"2026/05/14",1000
"2026/05/12","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,16840,--,--,"2026/05/14",6500
"2026/05/12","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,16270,--,--,"2026/05/14",21000
"2026/05/12","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,29115,--,--,"2026/05/14",10000
"2026/05/12","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,5933,--,--,"2026/05/14",-4200
"2026/05/12","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5933,--,--,"2026/05/14",-1200
"2026/05/12","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,5933,--,--,"2026/05/14",-4000
"2026/05/12","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,16060,--,--,"2026/05/14",--
"2026/05/12","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,15960,--,--,"2026/05/14",--
"2026/05/12","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,16775,--,--,"2026/05/14",--
"2026/05/12","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,16020,--,--,"2026/05/14",--
"2026/05/12","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,29015,--,--,"2026/05/14",--
"2026/05/12","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,5954,--,--,"2026/05/14",--
"2026/05/12","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,5953,--,--,"2026/05/14",--
"2026/05/12","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,5945,--,--,"2026/05/14",--
"2026/05/12","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",100,7018,--,--,"2026/05/14",200
"2026/05/12","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",100,6978,--,--,"2026/05/14",4200
"2026/05/12","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",200,6978,--,--,"2026/05/14",5400
"2026/05/12","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5945,--,--,"2026/05/14",-7000
"2026/05/12","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5946,--,--,"2026/05/14",-7000
"2026/05/12","ソフトバンクグループ","9984","東証",信用返済買,"6ヶ月"," 特定 ","申告",200,5939,35,--,"2026/05/14",-7835


