
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月25日","2026年05月25日","17","1","17"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/25","ＪＸ金属","5016","東証",信用返済売,"日計り"," 特定 ","申告",200,4310,--,--,"2026/05/27",-5600
"2026/05/25","ＪＸ金属","5016","東証",信用返済売,"日計り"," 特定 ","申告",100,4310,--,--,"2026/05/27",-2900
"2026/05/25","住友電気工業","5802","東証",信用返済売,"日計り"," 特定 ","申告",100,12435,--,--,"2026/05/27",20000
"2026/05/25","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,5238,--,--,"2026/05/27",1900
"2026/05/25","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",300,5204,--,--,"2026/05/27",2700
"2026/05/25","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,5204,--,--,"2026/05/27",1600
"2026/05/25","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,5205,--,--,"2026/05/27",-400
"2026/05/25","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,5205,--,--,"2026/05/27",400
"2026/05/25","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,5244,--,--,"2026/05/27",2500
"2026/05/25","ＪＸ金属","5016","東証",信用新規買,"日計り"," 特定 ","--",200,4338,--,--,"2026/05/27",--
"2026/05/25","ＪＸ金属","5016","東証",信用新規買,"日計り"," 特定 ","--",100,4339,--,--,"2026/05/27",--
"2026/05/25","住友電気工業","5802","東証",信用新規買,"日計り"," 特定 ","--",100,12235,--,--,"2026/05/27",--
"2026/05/25","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",300,5195,--,--,"2026/05/27",--
"2026/05/25","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",100,5188,--,--,"2026/05/27",--
"2026/05/25","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",100,5209,--,--,"2026/05/27",--
"2026/05/25","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",200,5219,--,--,"2026/05/27",--
"2026/05/25","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",100,5201,--,--,"2026/05/27",--


