
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年06月01日","2026年06月01日","36","1","36"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/06/01","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4578,--,--,"2026/06/03",--
"2026/06/01","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",300,4776,--,--,"2026/06/03",--
"2026/06/01","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4733,--,--,"2026/06/03",--
"2026/06/01","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4730,--,--,"2026/06/03",--
"2026/06/01","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4787,--,--,"2026/06/03",--
"2026/06/01","太陽誘電","6976","東証",信用新規売,"日計り"," 特定 ","--",100,15005,--,--,"2026/06/03",--
"2026/06/01","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,22590,--,--,"2026/06/03",30500
"2026/06/01","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,4813,--,--,"2026/06/03",-10200
"2026/06/01","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,4813,--,--,"2026/06/03",-10600
"2026/06/01","ＴＤＫ","6762","東証",信用返済売,"日計り"," 特定 ","申告",100,4086,--,--,"2026/06/03",2100
"2026/06/01","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,15270,--,--,"2026/06/03",17500
"2026/06/01","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7239,--,--,"2026/06/03",--
"2026/06/01","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7240,--,--,"2026/06/03",100
"2026/06/01","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,7839,--,--,"2026/06/03",1200
"2026/06/01","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,8289,--,--,"2026/06/03",3200
"2026/06/01","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,7909,--,--,"2026/06/03",2100
"2026/06/01","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,7909,--,--,"2026/06/03",1300
"2026/06/01","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,22285,--,--,"2026/06/03",--
"2026/06/01","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",200,4866,--,--,"2026/06/03",--
"2026/06/01","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",200,4864,--,--,"2026/06/03",--
"2026/06/01","ＴＤＫ","6762","東証",信用新規買,"日計り"," 特定 ","--",100,4065,--,--,"2026/06/03",--
"2026/06/01","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,15095,--,--,"2026/06/03",--
"2026/06/01","任天堂","7974","東証",信用新規買,"日計り"," 特定 ","--",200,7239,--,--,"2026/06/03",--
"2026/06/01","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,7888,--,--,"2026/06/03",--
"2026/06/01","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,8273,--,--,"2026/06/03",--
"2026/06/01","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,7896,--,--,"2026/06/03",--
"2026/06/01","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,7833,--,--,"2026/06/03",--
"2026/06/01","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4729,--,--,"2026/06/03",5800
"2026/06/01","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,4724,--,--,"2026/06/03",1200
"2026/06/01","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4726,--,--,"2026/06/03",700
"2026/06/01","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4732,--,--,"2026/06/03",4400
"2026/06/01","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4729,--,--,"2026/06/03",4700
"2026/06/01","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4724,--,--,"2026/06/03",900
"2026/06/01","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,4585,--,--,"2026/06/03",-1400
"2026/06/01","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4731,--,--,"2026/06/03",4500
"2026/06/01","太陽誘電","6976","東証",信用返済買,"日計り"," 特定 ","申告",100,15100,--,--,"2026/06/03",-9500


