
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月19日","2026年05月19日","56","1","56"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/19","イビデン","4062","東証",信用新規売,"日計り"," 特定 ","--",100,15100,--,--,"2026/05/21",--
"2026/05/19","イビデン","4062","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,15554.5,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4749,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,5512,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,5497,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,5503,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,5247,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,5523,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",400,5245,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,5524,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,5524,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4721,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,5237,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",300,4720,--,--,"2026/05/21",--
"2026/05/19","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,15790,--,--,"2026/05/21",2000
"2026/05/19","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,15835,--,--,"2026/05/21",4500
"2026/05/19","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,4723,--,--,"2026/05/21",4400
"2026/05/19","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",300,4723,--,--,"2026/05/21",3600
"2026/05/19","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,5522,--,--,"2026/05/21",-8600
"2026/05/19","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",300,5522,--,--,"2026/05/21",-11400
"2026/05/19","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,26335,--,--,"2026/05/21",20500
"2026/05/19","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,25095,--,--,"2026/05/21",-28000
"2026/05/19","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5586,--,--,"2026/05/21",-16200
"2026/05/19","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,5585,--,--,"2026/05/21",-13800
"2026/05/19","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,5307,--,--,"2026/05/21",-4200
"2026/05/19","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5586,--,--,"2026/05/21",-13700
"2026/05/19","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,5585,--,--,"2026/05/21",-13800
"2026/05/19","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",300,5307,--,--,"2026/05/21",-5400
"2026/05/19","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,15770,--,--,"2026/05/21",--
"2026/05/19","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,15790,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",300,5560,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",300,4711,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",200,4701,--,--,"2026/05/21",--
"2026/05/19","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",200,5565,--,--,"2026/05/21",--
"2026/05/19","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,26130,--,--,"2026/05/21",--
"2026/05/19","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,25375,--,--,"2026/05/21",--
"2026/05/19","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,5654,--,--,"2026/05/21",--
"2026/05/19","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,5748,--,--,"2026/05/21",--
"2026/05/19","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,5328,--,--,"2026/05/21",--
"2026/05/19","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",300,5325,--,--,"2026/05/21",--
"2026/05/19","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,5723,--,--,"2026/05/21",--
"2026/05/19","イビデン","4062","東証",信用返済買,"日計り"," 特定 ","申告",100,15115,--,--,"2026/05/21",-1500
"2026/05/19","イビデン","4062","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,15735,46,--,"2026/05/21",-18096
"2026/05/19","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,4694,--,--,"2026/05/21",5200
"2026/05/19","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,5533,--,--,"2026/05/21",-6000
