
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月20日","2026年05月20日","25","1","25"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/20","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4364,--,--,"2026/05/22",--
"2026/05/20","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4363,--,--,"2026/05/22",--
"2026/05/20","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4394,--,--,"2026/05/22",--
"2026/05/20","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,4411,--,--,"2026/05/22",4600
"2026/05/20","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",300,4431,--,--,"2026/05/22",10800
"2026/05/20","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4431,--,--,"2026/05/22",4300
"2026/05/20","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7570,--,--,"2026/05/22",300
"2026/05/20","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7569,--,--,"2026/05/22",1000
"2026/05/20","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7521,--,--,"2026/05/22",-2400
"2026/05/20","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",200,7569,--,--,"2026/05/22",400
"2026/05/20","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7521,--,--,"2026/05/22",-200
"2026/05/20","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7522,--,--,"2026/05/22",-2300
"2026/05/20","任天堂","7974","東証",信用返済売,"日計り"," 特定 ","申告",100,7521,--,--,"2026/05/22",-2300
"2026/05/20","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",300,4395,--,--,"2026/05/22",--
"2026/05/20","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",300,4388,--,--,"2026/05/22",--
"2026/05/20","任天堂","7974","東証",信用新規買,"日計り"," 特定 ","--",100,7559,--,--,"2026/05/22",--
"2026/05/20","任天堂","7974","東証",信用新規買,"日計り"," 特定 ","--",200,7545,--,--,"2026/05/22",--
"2026/05/20","任天堂","7974","東証",信用新規買,"日計り"," 特定 ","--",100,7523,--,--,"2026/05/22",--
"2026/05/20","任天堂","7974","東証",信用新規買,"日計り"," 特定 ","--",100,7544,--,--,"2026/05/22",--
"2026/05/20","任天堂","7974","東証",信用新規買,"日計り"," 特定 ","--",300,7567,--,--,"2026/05/22",--
"2026/05/20","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4355,--,--,"2026/05/22",800
"2026/05/20","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4356,--,--,"2026/05/22",800
"2026/05/20","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4356,--,--,"2026/05/22",700
"2026/05/20","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4344,--,--,"2026/05/22",5000
"2026/05/20","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4337,--,--,"2026/05/22",2700


