
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年06月04日","2026年06月04日","43","1","43"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/06/04","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4654,--,--,"2026/06/08",--
"2026/06/04","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4661,--,--,"2026/06/08",--
"2026/06/04","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4662,--,--,"2026/06/08",--
"2026/06/04","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4653,--,--,"2026/06/08",--
"2026/06/04","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,7322,--,--,"2026/06/08",--
"2026/06/04","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,7323,--,--,"2026/06/08",--
"2026/06/04","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,7895,--,--,"2026/06/08",--
"2026/06/04","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,7891,--,--,"2026/06/08",--
"2026/06/04","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,7883,--,--,"2026/06/08",--
"2026/06/04","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4790,--,--,"2026/06/08",1600
"2026/06/04","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,4814,--,--,"2026/06/08",10600
"2026/06/04","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4814,--,--,"2026/06/08",5300
"2026/06/04","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4815,--,--,"2026/06/08",4100
"2026/06/04","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4789,--,--,"2026/06/08",1500
"2026/06/04","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,28115,--,--,"2026/06/08",-1000
"2026/06/04","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,16540,--,--,"2026/06/08",15500
"2026/06/04","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,15915,--,--,"2026/06/08",-30500
"2026/06/04","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,16010,--,--,"2026/06/08",-4000
"2026/06/04","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,16880,--,--,"2026/06/08",8500
"2026/06/04","村田製作所","6981","東証",信用返済売,"日計り"," 特定 ","申告",100,9946,--,--,"2026/06/08",-1900
"2026/06/04","村田製作所","6981","東証",信用返済売,"日計り"," 特定 ","申告",100,10075,--,--,"2026/06/08",2000
"2026/06/04","村田製作所","6981","東証",信用返済売,"日計り"," 特定 ","申告",100,10070,--,--,"2026/06/08",3000
"2026/06/04","村田製作所","6981","東証",信用返済売,"日計り"," 特定 ","申告",100,9888,--,--,"2026/06/08",-1600
"2026/06/04","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",300,4774,--,--,"2026/06/08",--
"2026/06/04","フジクラ","5803","東証",信用新規買,"日計り"," 特定 ","--",300,4761,--,--,"2026/06/08",--
"2026/06/04","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,28125,--,--,"2026/06/08",--
"2026/06/04","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,16795,--,--,"2026/06/08",--
"2026/06/04","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,16050,--,--,"2026/06/08",--
"2026/06/04","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,16220,--,--,"2026/06/08",--
"2026/06/04","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,16385,--,--,"2026/06/08",--
"2026/06/04","村田製作所","6981","東証",信用新規買,"日計り"," 特定 ","--",100,10055,--,--,"2026/06/08",--
"2026/06/04","村田製作所","6981","東証",信用新規買,"日計り"," 特定 ","--",100,9904,--,--,"2026/06/08",--
"2026/06/04","村田製作所","6981","東証",信用新規買,"日計り"," 特定 ","--",100,9965,--,--,"2026/06/08",--
"2026/06/04","村田製作所","6981","東証",信用新規買,"日計り"," 特定 ","--",100,10040,--,--,"2026/06/08",--
"2026/06/04","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4654,--,--,"2026/06/08",-100
"2026/06/04","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4654,--,--,"2026/06/08",700
"2026/06/04","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4654,--,--,"2026/06/08",--
"2026/06/04","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4654,--,--,"2026/06/08",800
"2026/06/04","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",100,7320,--,--,"2026/06/08",300
"2026/06/04","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",200,7318,--,--,"2026/06/08",800
"2026/06/04","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,7843,--,--,"2026/06/08",4000
"2026/06/04","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,7816,--,--,"2026/06/08",7500
"2026/06/04","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,7885,--,--,"2026/06/08",1000


