
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月13日","2026年05月14日","25","1","25"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/13","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",100,7125,--,--,"2026/05/15",--
"2026/05/13","任天堂","7974","東証",信用新規売,"日計り"," 特定 ","--",200,7145,--,--,"2026/05/15",--
"2026/05/13","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5830,--,--,"2026/05/15",--
"2026/05/13","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",200,5849,--,--,"2026/05/15",--
"2026/05/13","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",300,5824,--,--,"2026/05/15",--
"2026/05/13","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,16515,--,--,"2026/05/15",-7500
"2026/05/13","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,16655,--,--,"2026/05/15",15500
"2026/05/13","イビデン","4062","東証",信用返済売,"日計り"," 特定 ","申告",100,16885,--,--,"2026/05/15",-10500
"2026/05/13","イビデン","4062","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,17080,131,--,"2026/05/15",-6131
"2026/05/13","フジクラ","5803","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,7529.4,57,--,"2026/05/15",2983
"2026/05/13","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,7550,57,--,"2026/05/15",5053
"2026/05/13","トヨタ自動車","7203","東証",信用返済売,"日計り"," 特定 ","申告",500,2905,--,--,"2026/05/15",2500
"2026/05/13","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,16990,--,--,"2026/05/15",--
"2026/05/13","イビデン","4062","東証",信用新規買,"6ヶ月"," 特定 ","--",100,17140,--,--,"2026/05/15",--
"2026/05/13","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,16500,--,--,"2026/05/15",--
"2026/05/13","イビデン","4062","東証",信用新規買,"日計り"," 特定 ","--",100,16590,--,--,"2026/05/15",--
"2026/05/13","フジクラ","5803","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",100,7498.9,--,--,"2026/05/15",--
"2026/05/13","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",100,7499,--,--,"2026/05/15",--
"2026/05/13","トヨタ自動車","7203","東証",信用新規買,"日計り"," 特定 ","--",500,2900,--,--,"2026/05/15",--
"2026/05/13","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",100,7148,--,--,"2026/05/15",-300
"2026/05/13","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",100,7147,--,--,"2026/05/15",-2200
"2026/05/13","任天堂","7974","東証",信用返済買,"日計り"," 特定 ","申告",100,7147,--,--,"2026/05/15",-200
"2026/05/13","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",200,5838,--,--,"2026/05/15",2200
"2026/05/13","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",300,5814,--,--,"2026/05/15",3000
"2026/05/13","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5838,--,--,"2026/05/15",-800


