
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年04月30日","2026年04月30日","96","1","96"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5251,40,--,"2026/05/07",3460
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5226,40,--,"2026/05/07",960
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5245,40,--,"2026/05/07",2860
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5245,40,--,"2026/05/07",2860
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5154,39,--,"2026/05/07",4561
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",100,6014,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",100,6012,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",300,6014,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",200,6030,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5977,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",300,5976,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",100,6032,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5980,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",400,6018,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5999,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規買,"6ヶ月"," 特定 ","--",200,6028,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",200,5216,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5225,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5191,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5217,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",200,5373,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",200,5283,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",400,5108,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",400,5089,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5062,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5213,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5236,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",200,5216,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",500,5172,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5361,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5108,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",400,5045,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",400,5241,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5091,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",200,6009,35,--,"2026/05/07",-13635
"2026/04/30","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,5976,17,--,"2026/05/07",-617
"2026/04/30","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",400,6018,72,--,"2026/05/07",-13272
"2026/04/30","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,5976,18,--,"2026/05/07",-318
"2026/04/30","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,5975,17,--,"2026/05/07",-917
"2026/04/30","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",200,6010,35,--,"2026/05/07",-13635
"2026/04/30","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,6010,17,--,"2026/05/07",-4617
"2026/04/30","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,5975,17,--,"2026/05/07",-1317
"2026/04/30","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,5976,18,--,"2026/05/07",-18
"2026/04/30","三菱重工業","7011","東証",信用返済買,"6ヶ月"," 特定 ","申告",200,4574,27,--,"2026/05/07",173
"2026/04/30","三菱重工業","7011","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,4574,13,--,"2026/05/07",-13
"2026/04/30","三菱重工業","7011","東証",信用返済買,"6ヶ月"," 特定 ","申告",300,4574,41,--,"2026/05/07",-41
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済買,"6ヶ月"," 特定 ","申告",200,5205,31,--,"2026/05/07",3369
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済買,"6ヶ月"," 特定 ","申告",300,5177,46,--,"2026/05/07",-6346
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済買,"6ヶ月"," 特定 ","申告",400,5236,62,--,"2026/05/07",-4462
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済買,"6ヶ月"," 特定 ","申告",200,5177,31,--,"2026/05/07",-3631
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済買,"6ヶ月"," 特定 ","申告",300,5208,47,--,"2026/05/07",4453


