
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年06月05日","2026年06月05日","52","1","52"

決済損益合計
-7451

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/06/05","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","4684","4688","468400","468800","--","--","--","--","--","1","--","--","--","--","2026/06/09","+400"
"2026/06/05","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","4691","4688","469100","468800","--","--","--","--","--","1","--","--","--","--","2026/06/09","-300"
"2026/06/05","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","4792","4795","479200","479500","--","--","--","--","--","1","--","--","--","--","2026/06/09","+300"
"2026/06/05","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","4685","4688","468500","468800","--","--","--","--","--","1","--","--","--","--","2026/06/09","+300"
"2026/06/05","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","4794","4805","479400","480500","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1100"
"2026/06/05","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","200","4791","4795","958200","959000","--","--","--","--","--","1","--","--","--","--","2026/06/09","+800"
"2026/06/05","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","500","4737","4736","2368500","2368000","--","--","--","--","--","1","--","--","--","--","2026/06/09","-500"
"2026/06/05","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","200","4707","4688","941400","937600","--","--","--","--","--","1","--","--","--","--","2026/06/09","-3800"
"2026/06/05","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","26775","26790","2677500","2679000","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1500"
"2026/06/05","太陽誘電","6976 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/06/05","買建","100","15850","15830","1585000","1583000","--","--","--","--","121","1","--","--","--","121","2026/06/09","-2121"
"2026/06/05","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","15620","15550","1562000","1555000","--","--","--","--","--","1","--","--","--","--","2026/06/09","-7000"
"2026/06/05","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","200","9814","9796","1962800","1959200","--","--","--","--","--","1","--","--","--","--","2026/06/09","-3600"
"2026/06/05","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","9838","9825","983800","982500","--","--","--","--","--","1","--","--","--","--","2026/06/09","-1300"
"2026/06/05","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","9918","9928","991800","992800","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1000"
"2026/06/05","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","9760","9793","976000","979300","--","--","--","--","--","1","--","--","--","--","2026/06/09","+3300"
"2026/06/05","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","9760","9834","976000","983400","--","--","--","--","--","1","--","--","--","--","2026/06/09","+7400"
"2026/06/05","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","9918","9924","991800","992400","--","--","--","--","--","1","--","--","--","--","2026/06/09","+600"
"2026/06/05","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7541","7531","754100","753100","--","--","--","--","--","1","--","--","--","--","2026/06/09","-1000"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","200","7342","7350","1468400","1470000","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1600"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7342","7340","734200","734000","--","--","--","--","--","1","--","--","--","--","2026/06/09","-200"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7310","7287","731000","728700","--","--","--","--","--","1","--","--","--","--","2026/06/09","-2300"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7316","7290","731600","729000","--","--","--","--","--","1","--","--","--","--","2026/06/09","-2600"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","200","7333","7356","1466600","1471200","--","--","--","--","--","1","--","--","--","--","2026/06/09","+4600"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7319","7290","731900","729000","--","--","--","--","--","1","--","--","--","--","2026/06/09","-2900"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7313","7290","731300","729000","--","--","--","--","--","1","--","--","--","--","2026/06/09","-2300"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7449","7460","744900","746000","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1100"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7449","7463","744900","746300","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1400"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7449","7461","744900","746100","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1200"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7333","7353","733300","735300","--","--","--","--","--","1","--","--","--","--","2026/06/09","+2000"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7450","7476","745000","747600","--","--","--","--","--","1","--","--","--","--","2026/06/09","+2600"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/05","買建","100","7450","7483","745000","748300","--","--","--","--","--","1","--","--","--","--","2026/06/09","+3300"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/06/05","買建","100","7460","7531","746000","753100","--","--","--","--","57","1","--","--","--","57","2026/06/09","+7043"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/06/05","買建","300","7525","7527","2257500","2258100","--","--","--","--","173","1","--","--","--","173","2026/06/09","+427"
"2026/06/05","イビデン","4062 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","18710","18765","1871000","1876500","--","--","--","--","--","1","--","--","--","--","2026/06/09","-5500"
"2026/06/05","イビデン","4062 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","18605","18720","1860500","1872000","--","--","--","--","--","1","--","--","--","--","2026/06/09","-11500"
"2026/06/05","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","4780","4766","478000","476600","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1400"
"2026/06/05","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","400","4780","4769","1912000","1907600","--","--","--","--","--","1","--","--","--","--","2026/06/09","+4400"
"2026/06/05","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","300","4686","4682","1405800","1404600","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1200"
"2026/06/05","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","4682","4682","468200","468200","--","--","--","--","--","1","--","--","--","--","2026/06/09","--"
"2026/06/05","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","4688","4682","468800","468200","--","--","--","--","--","1","--","--","--","--","2026/06/09","+600"
"2026/06/05","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","500","4725","4739","2362500","2369500","--","--","--","--","--","1","--","--","--","--","2026/06/09","-7000"
"2026/06/05","太陽誘電","6976 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","15650","15645","1565000","1564500","--","--","--","--","--","1","--","--","--","--","2026/06/09","+500"
"2026/06/05","村田製作所","6981 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","9811","9797","981100","979700","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1400"
"2026/06/05","村田製作所","6981 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","9340","9361","934000","936100","--","--","--","--","--","1","--","--","--","--","2026/06/09","-2100"
"2026/06/05","村田製作所","6981 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","9506","9577","950600","957700","--","--","--","--","--","1","--","--","--","--","2026/06/09","-7100"
"2026/06/05","村田製作所","6981 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","9980","9969","998000","996900","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1100"
"2026/06/05","村田製作所","6981 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","9328","9360","932800","936000","--","--","--","--","--","1","--","--","--","--","2026/06/09","-3200"
"2026/06/05","村田製作所","6981 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","9980","9970","998000","997000","--","--","--","--","--","1","--","--","--","--","2026/06/09","+1000"
"2026/06/05","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","7552","7547","755200","754700","--","--","--","--","--","1","--","--","--","--","2026/06/09","+500"
"2026/06/05","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","7553","7548","755300","754800","--","--","--","--","--","1","--","--","--","--","2026/06/09","+500"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","100","7369","7311","736900","731100","--","--","--","--","--","1","--","--","--","--","2026/06/09","+5800"
"2026/06/05","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/05","売建","300","7326","7331","2197800","2199300","--","--","--","--","--","1","--","--","--","--","2026/06/09","-1500"


