
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年06月04日","2026年06月04日","23","1","23"

決済損益合計
+28100

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/06/04","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","4761","4814","476100","481400","--","--","--","--","--","1","--","--","--","--","2026/06/08","+5300"
"2026/06/04","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","4774","4815","477400","481500","--","--","--","--","--","1","--","--","--","--","2026/06/08","+4100"
"2026/06/04","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","200","4761","4814","952200","962800","--","--","--","--","--","1","--","--","--","--","2026/06/08","+10600"
"2026/06/04","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","4774","4790","477400","479000","--","--","--","--","--","1","--","--","--","--","2026/06/08","+1600"
"2026/06/04","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","4774","4789","477400","478900","--","--","--","--","--","1","--","--","--","--","2026/06/08","+1500"
"2026/06/04","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","28125","28115","2812500","2811500","--","--","--","--","--","1","--","--","--","--","2026/06/08","-1000"
"2026/06/04","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","16220","15915","1622000","1591500","--","--","--","--","--","1","--","--","--","--","2026/06/08","-30500"
"2026/06/04","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","16050","16010","1605000","1601000","--","--","--","--","--","1","--","--","--","--","2026/06/08","-4000"
"2026/06/04","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","16795","16880","1679500","1688000","--","--","--","--","--","1","--","--","--","--","2026/06/08","+8500"
"2026/06/04","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","16385","16540","1638500","1654000","--","--","--","--","--","1","--","--","--","--","2026/06/08","+15500"
"2026/06/04","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","9904","9888","990400","988800","--","--","--","--","--","1","--","--","--","--","2026/06/08","-1600"
"2026/06/04","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","9965","9946","996500","994600","--","--","--","--","--","1","--","--","--","--","2026/06/08","-1900"
"2026/06/04","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","10055","10075","1005500","1007500","--","--","--","--","--","1","--","--","--","--","2026/06/08","+2000"
"2026/06/04","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/04","買建","100","10040","10070","1004000","1007000","--","--","--","--","--","1","--","--","--","--","2026/06/08","+3000"
"2026/06/04","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/04","売建","100","4653","4654","465300","465400","--","--","--","--","--","1","--","--","--","--","2026/06/08","-100"
"2026/06/04","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/04","売建","100","4661","4654","466100","465400","--","--","--","--","--","1","--","--","--","--","2026/06/08","+700"
"2026/06/04","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/04","売建","100","4654","4654","465400","465400","--","--","--","--","--","1","--","--","--","--","2026/06/08","--"
"2026/06/04","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/04","売建","100","4662","4654","466200","465400","--","--","--","--","--","1","--","--","--","--","2026/06/08","+800"
"2026/06/04","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/04","売建","200","7322","7318","1464400","1463600","--","--","--","--","--","1","--","--","--","--","2026/06/08","+800"
"2026/06/04","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/04","売建","100","7323","7320","732300","732000","--","--","--","--","--","1","--","--","--","--","2026/06/08","+300"
"2026/06/04","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/04","売建","100","7895","7885","789500","788500","--","--","--","--","--","1","--","--","--","--","2026/06/08","+1000"
"2026/06/04","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/04","売建","100","7883","7843","788300","784300","--","--","--","--","--","1","--","--","--","--","2026/06/08","+4000"
"2026/06/04","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/04","売建","100","7891","7816","789100","781600","--","--","--","--","--","1","--","--","--","--","2026/06/08","+7500"


