
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月15日","2026年05月15日","9","1","9"

決済損益合計
+30900

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/15","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/15","買建","100","6511","6492","651100","649200","--","--","--","--","--","1","--","--","--","--","2026/05/19","-1900"
"2026/05/15","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/15","買建","300","6512","6609","1953600","1982700","--","--","--","--","--","1","--","--","--","--","2026/05/19","+29100"
"2026/05/15","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/15","買建","400","6530","6492","2612000","2596800","--","--","--","--","--","1","--","--","--","--","2026/05/19","-15200"
"2026/05/15","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/15","買建","200","6512","6557","1302400","1311400","--","--","--","--","--","1","--","--","--","--","2026/05/19","+9000"
"2026/05/15","イビデン","4062 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/15","売建","100","16490","16295","1649000","1629500","--","--","--","--","--","1","--","--","--","--","2026/05/19","+19500"
"2026/05/15","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/15","売建","200","6500","6528","1300000","1305600","--","--","--","--","--","1","--","--","--","--","2026/05/19","-5600"
"2026/05/15","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/15","売建","400","6537","6533","2614800","2613200","--","--","--","--","--","1","--","--","--","--","2026/05/19","+1600"
"2026/05/15","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/15","売建","200","5901","5925","1180200","1185000","--","--","--","--","--","1","--","--","--","--","2026/05/19","-4800"
"2026/05/15","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/15","売建","200","5921","5925","1184200","1185000","--","--","--","--","--","1","--","--","--","--","2026/05/19","-800"


