
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月12日","2026年05月12日","14","1","14"

決済損益合計
+27065

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/12","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/12","買建","100","16020","16120","1602000","1612000","--","--","--","--","--","1","--","--","--","--","2026/05/14","+10000"
"2026/05/12","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/12","買建","100","15960","15970","1596000","1597000","--","--","--","--","--","1","--","--","--","--","2026/05/14","+1000"
"2026/05/12","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/12","買建","100","16060","16270","1606000","1627000","--","--","--","--","--","1","--","--","--","--","2026/05/14","+21000"
"2026/05/12","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/12","買建","100","16775","16840","1677500","1684000","--","--","--","--","--","1","--","--","--","--","2026/05/14","+6500"
"2026/05/12","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/12","買建","100","29015","29115","2901500","2911500","--","--","--","--","--","1","--","--","--","--","2026/05/14","+10000"
"2026/05/12","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/12","買建","200","5953","5933","1190600","1186600","--","--","--","--","--","1","--","--","--","--","2026/05/14","-4000"
"2026/05/12","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/12","買建","200","5954","5933","1190800","1186600","--","--","--","--","--","1","--","--","--","--","2026/05/14","-4200"
"2026/05/12","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/12","買建","100","5945","5933","594500","593300","--","--","--","--","--","1","--","--","--","--","2026/05/14","-1200"
"2026/05/12","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/12","売建","100","7020","6978","702000","697800","--","--","--","--","--","1","--","--","--","--","2026/05/14","+4200"
"2026/05/12","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/12","売建","100","7020","7018","702000","701800","--","--","--","--","--","1","--","--","--","--","2026/05/14","+200"
"2026/05/12","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/12","売建","200","7005","6978","1401000","1395600","--","--","--","--","--","1","--","--","--","--","2026/05/14","+5400"
"2026/05/12","ソフトバンクグループ","9984 ","東証","信用返済買","6ヶ月","特定","申告","東証","2026/05/12","売建","200","5900","5939","1180000","1187800","--","--","--","35","--","1","--","--","--","35","2026/05/14","-7835"
"2026/05/12","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/12","売建","100","5875","5945","587500","594500","--","--","--","--","--","1","--","--","--","--","2026/05/14","-7000"
"2026/05/12","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/12","売建","100","5876","5946","587600","594600","--","--","--","--","--","1","--","--","--","--","2026/05/14","-7000"


