
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月26日","2026年05月26日","6","1","6"

決済損益合計
+38000

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/26","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/26","買建","100","11300","11390","1130000","1139000","--","--","--","--","--","1","--","--","--","--","2026/05/28","+9000"
"2026/05/26","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/26","買建","100","11505","11645","1150500","1164500","--","--","--","--","--","1","--","--","--","--","2026/05/28","+14000"
"2026/05/26","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/26","買建","100","11415","11490","1141500","1149000","--","--","--","--","--","1","--","--","--","--","2026/05/28","+7500"
"2026/05/26","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/26","買建","100","11375","11410","1137500","1141000","--","--","--","--","--","1","--","--","--","--","2026/05/28","+3500"
"2026/05/26","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/26","売建","100","5275","5260","527500","526000","--","--","--","--","--","1","--","--","--","--","2026/05/28","+1500"
"2026/05/26","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/26","売建","100","5274","5249","527400","524900","--","--","--","--","--","1","--","--","--","--","2026/05/28","+2500"


