
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年05月21日","2026年05月21日","49","1","49"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",300,4570,--,--,"2026/05/25",--
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4335,--,--,"2026/05/25",--
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4326,--,--,"2026/05/25",--
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4333,--,--,"2026/05/25",--
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",500,4580,--,--,"2026/05/25",--
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4395,--,--,"2026/05/25",--
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",300,4383,--,--,"2026/05/25",--
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4334,--,--,"2026/05/25",--
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4575,--,--,"2026/05/25",--
"2026/05/21","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4382,--,--,"2026/05/25",--
"2026/05/21","ＪＸ金属","5016","東証",信用返済売,"日計り"," 特定 ","申告",100,4038,--,--,"2026/05/25",1900
"2026/05/21","ＪＸ金属","5016","東証",信用返済売,"日計り"," 特定 ","申告",400,4038,--,--,"2026/05/25",8000
"2026/05/21","ＪＸ金属","5016","東証",信用返済売,"日計り"," 特定 ","申告",100,4039,--,--,"2026/05/25",2000
"2026/05/21","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",300,4381,--,--,"2026/05/25",-12300
"2026/05/21","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4471,--,--,"2026/05/25",-6600
"2026/05/21","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4472,--,--,"2026/05/25",-5400
"2026/05/21","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",100,4471,--,--,"2026/05/25",-6200
"2026/05/21","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,4385,--,--,"2026/05/25",-5600
"2026/05/21","フジクラ","5803","東証",信用返済売,"日計り"," 特定 ","申告",200,4471,--,--,"2026/05/25",-13600
