
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月11日","2026年05月11日","59","1","59"

決済損益合計
-18700

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/11","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","6778","6790","1355600","1358000","--","--","--","--","--","1","--","--","--","--","2026/05/13","+2400"
"2026/05/11","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","6778","6781","1355600","1356200","--","--","--","--","--","1","--","--","--","--","2026/05/13","+600"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","100","7191","7264","719100","726400","--","--","--","--","--","1","--","--","--","--","2026/05/13","+7300"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","100","6959","6975","695900","697500","--","--","--","--","--","1","--","--","--","--","2026/05/13","+1600"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","7199","7254","1439800","1450800","--","--","--","--","--","1","--","--","--","--","2026/05/13","+11000"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","7015","7012","1403000","1402400","--","--","--","--","--","1","--","--","--","--","2026/05/13","-600"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","6992","6990","1398400","1398000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-400"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","7213","7171","1442600","1434200","--","--","--","--","--","1","--","--","--","--","2026/05/13","-8400"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","7001","7000","1400200","1400000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-200"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","400","7012","7200","2804800","2880000","--","--","--","--","--","1","--","--","--","--","2026/05/13","+75200"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","100","6960","6975","696000","697500","--","--","--","--","--","1","--","--","--","--","2026/05/13","+1500"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","7001","7000","1400200","1400000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-200"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","100","7014","7012","701400","701200","--","--","--","--","--","1","--","--","--","--","2026/05/13","-200"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","100","7200","7254","720000","725400","--","--","--","--","--","1","--","--","--","--","2026/05/13","+5400"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","7213","7170","1442600","1434000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-8600"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","100","7014","7011","701400","701100","--","--","--","--","--","1","--","--","--","--","2026/05/13","-300"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","100","7191","7264","719100","726400","--","--","--","--","--","1","--","--","--","--","2026/05/13","+7300"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","6992","7000","1398400","1400000","--","--","--","--","--","1","--","--","--","--","2026/05/13","+1600"
"2026/05/11","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","7191","7163","1438200","1432600","--","--","--","--","--","1","--","--","--","--","2026/05/13","-5600"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","6244","6207","1248800","1241400","--","--","--","--","--","1","--","--","--","--","2026/05/13","-7400"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","100","6244","6206","624400","620600","--","--","--","--","--","1","--","--","--","--","2026/05/13","-3800"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","5808","5803","1161600","1160600","--","--","--","--","--","1","--","--","--","--","2026/05/13","-1000"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","5798","5755","1159600","1151000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-8600"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","300","5815","5803","1744500","1740900","--","--","--","--","--","1","--","--","--","--","2026/05/13","-3600"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","300","5780","5790","1734000","1737000","--","--","--","--","--","1","--","--","--","--","2026/05/13","+3000"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","5780","5790","1156000","1158000","--","--","--","--","--","1","--","--","--","--","2026/05/13","+2000"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","100","5784","5755","578400","575500","--","--","--","--","--","1","--","--","--","--","2026/05/13","-2900"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","500","5805","5812","2902500","2906000","--","--","--","--","--","1","--","--","--","--","2026/05/13","+3500"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","5804","5755","1160800","1151000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-9800"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","300","5816","5791","1744800","1737300","--","--","--","--","--","1","--","--","--","--","2026/05/13","-7500"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","5817","5791","1163400","1158200","--","--","--","--","--","1","--","--","--","--","2026/05/13","-5200"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/11","買建","200","6225","6206","1245000","1241200","--","--","--","--","--","1","--","--","--","--","2026/05/13","-3800"
"2026/05/11","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","300","6798","6791","2039400","2037300","--","--","--","--","--","1","--","--","--","--","2026/05/13","+2100"
"2026/05/11","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","6671","6667","667100","666700","--","--","--","--","--","1","--","--","--","--","2026/05/13","+400"
"2026/05/11","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","200","6668","6667","1333600","1333400","--","--","--","--","--","1","--","--","--","--","2026/05/13","+200"
"2026/05/11","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","6673","6667","667300","666700","--","--","--","--","--","1","--","--","--","--","2026/05/13","+600"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","200","7168","7185","1433600","1437000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-3400"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","7168","7185","716800","718500","--","--","--","--","--","1","--","--","--","--","2026/05/13","-1700"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","300","7195","7208","2158500","2162400","--","--","--","--","--","1","--","--","--","--","2026/05/13","-3900"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","6985","7040","698500","704000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-5500"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","7150","7084","715000","708400","--","--","--","--","--","1","--","--","--","--","2026/05/13","+6600"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","200","7006","6999","1401200","1399800","--","--","--","--","--","1","--","--","--","--","2026/05/13","+1400"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","200","6981","6993","1396200","1398600","--","--","--","--","--","1","--","--","--","--","2026/05/13","-2400"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","300","6977","6977","2093100","2093100","--","--","--","--","--","1","--","--","--","--","2026/05/13","--"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","200","6947","7040","1389400","1408000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-18600"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","7178","7185","717800","718500","--","--","--","--","--","1","--","--","--","--","2026/05/13","-700"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","7151","7084","715100","708400","--","--","--","--","--","1","--","--","--","--","2026/05/13","+6700"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","300","7200","7194","2160000","2158200","--","--","--","--","--","1","--","--","--","--","2026/05/13","+1800"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","200","7007","6999","1401400","1399800","--","--","--","--","--","1","--","--","--","--","2026/05/13","+1600"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","6955","7040","695500","704000","--","--","--","--","--","1","--","--","--","--","2026/05/13","-8500"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","6930","7046","693000","704600","--","--","--","--","--","1","--","--","--","--","2026/05/13","-11600"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","6978","6977","697800","697700","--","--","--","--","--","1","--","--","--","--","2026/05/13","+100"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","7128","7090","712800","709000","--","--","--","--","--","1","--","--","--","--","2026/05/13","+3800"
"2026/05/11","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","300","6939","7046","2081700","2113800","--","--","--","--","--","1","--","--","--","--","2026/05/13","-32100"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","300","5775","5775","1732500","1732500","--","--","--","--","--","1","--","--","--","--","2026/05/13","--"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","6140","6136","614000","613600","--","--","--","--","--","1","--","--","--","--","2026/05/13","+400"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","5774","5775","577400","577500","--","--","--","--","--","1","--","--","--","--","2026/05/13","-100"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","100","5773","5775","577300","577500","--","--","--","--","--","1","--","--","--","--","2026/05/13","-200"
"2026/05/11","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/11","売建","400","6136","6136","2454400","2454400","--","--","--","--","--","1","--","--","--","--","2026/05/13","--"


