
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年08月03日","2026年08月03日","20","1","20"

決済損益合計
+12330

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/08/03","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","15895","15825","1589500","1582500","--","--","--","--","--","1","--","--","--","--","2026/08/05","-7000"
"2026/08/03","ルネサスエレクトロニクス","6723 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","400","3998","3991","1599200","1596400","--","--","--","--","--","1","--","--","--","--","2026/08/05","-2800"
"2026/08/03","ルネサスエレクトロニクス","6723 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","3990","3981","399000","398100","--","--","--","--","--","1","--","--","--","--","2026/08/05","-900"
"2026/08/03","ルネサスエレクトロニクス","6723 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","3996","3981","399600","398100","--","--","--","--","--","1","--","--","--","--","2026/08/05","-1500"
"2026/08/03","ルネサスエレクトロニクス","6723 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","4001","3981","400100","398100","--","--","--","--","--","1","--","--","--","--","2026/08/05","-2000"
"2026/08/03","ルネサスエレクトロニクス","6723 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","3999","3981","399900","398100","--","--","--","--","--","1","--","--","--","--","2026/08/05","-1800"
"2026/08/03","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","10200","10245","1020000","1024500","--","--","--","--","--","1","--","--","--","--","2026/08/05","+4500"
"2026/08/03","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","10080","10020","1008000","1002000","--","--","--","--","--","1","--","--","--","--","2026/08/05","-6000"
"2026/08/03","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","7165","7191","716500","719100","--","--","--","--","--","1","--","--","--","--","2026/08/05","+2600"
"2026/08/03","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","7384","7417","738400","741700","--","--","--","--","--","1","--","--","--","--","2026/08/05","+3300"
"2026/08/03","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","100","7147","7268","714700","726800","--","--","--","--","--","1","--","--","--","--","2026/08/05","+12100"
"2026/08/03","ルネサスエレクトロニクス","6723 ","東証","信用返済買","日計り","特定","申告","東証","2026/08/03","売建","100","3974","3915","397400","391500","--","--","--","--","--","1","--","--","--","--","2026/08/05","+5900"
"2026/08/03","ルネサスエレクトロニクス","6723 ","東証","信用返済買","日計り","特定","申告","東証","2026/08/03","売建","100","3973","3915","397300","391500","--","--","--","--","--","1","--","--","--","--","2026/08/05","+5800"
"2026/08/03","ルネサスエレクトロニクス","6723 ","東証","信用返済買","日計り","特定","申告","東証","2026/08/03","売建","200","3973","3933","794600","786600","--","--","--","--","--","1","--","--","--","--","2026/08/05","+8000"
"2026/08/03","太陽誘電","6976 ","東証","信用返済買","日計り","特定","申告","東証","2026/08/03","売建","100","9712","9737","971200","973700","--","--","--","--","--","1","--","--","--","--","2026/08/05","-2500"
"2026/08/03","太陽誘電","6976 ","東証","信用返済買","日計り","特定","申告","東証","2026/08/03","売建","100","10045","10080","1004500","1008000","--","--","--","--","--","1","--","--","--","--","2026/08/05","-3500"
"2026/08/03","ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型","1570 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","2","64540","64410","129080","128820","--","--","--","--","--","1","--","--","--","--","2026/08/05","-260"
"2026/08/03","ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型","1570 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","2","64480","64410","128960","128820","--","--","--","--","--","1","--","--","--","--","2026/08/05","-140"
"2026/08/03","ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型","1570 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","1","64480","64410","64480","64410","--","--","--","--","--","1","--","--","--","--","2026/08/05","-70"
"2026/08/03","ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型","1570 ","東証","信用返済売","日計り","特定","申告","東証","2026/08/03","買建","10","64550","64410","645500","644100","--","--","--","--","--","1","--","--","--","--","2026/08/05","-1400"


