
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月14日","2026年05月14日","17","1","17"

決済損益合計
+12200

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/14","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","7640","7618","764000","761800","--","--","--","--","--","1","--","--","--","--","2026/05/18","-2200"
"2026/05/14","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","7701","7708","770100","770800","--","--","--","--","--","1","--","--","--","--","2026/05/18","+700"
"2026/05/14","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","7656","7807","765600","780700","--","--","--","--","--","1","--","--","--","--","2026/05/18","+15100"
"2026/05/14","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","7701","7716","770100","771600","--","--","--","--","--","1","--","--","--","--","2026/05/18","+1500"
"2026/05/14","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","200","7640","7617","1528000","1523400","--","--","--","--","--","1","--","--","--","--","2026/05/18","-4600"
"2026/05/14","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","7657","7883","765700","788300","--","--","--","--","--","1","--","--","--","--","2026/05/18","+22600"
"2026/05/14","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","7656","7883","765600","788300","--","--","--","--","--","1","--","--","--","--","2026/05/18","+22700"
"2026/05/14","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","5971","5933","597100","593300","--","--","--","--","--","1","--","--","--","--","2026/05/18","-3800"
"2026/05/14","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","5971","5934","597100","593400","--","--","--","--","--","1","--","--","--","--","2026/05/18","-3700"
"2026/05/14","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","6086","6183","608600","618300","--","--","--","--","--","1","--","--","--","--","2026/05/18","+9700"
"2026/05/14","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","5986","5934","598600","593400","--","--","--","--","--","1","--","--","--","--","2026/05/18","-5200"
"2026/05/14","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/14","買建","100","6076","6048","607600","604800","--","--","--","--","--","1","--","--","--","--","2026/05/18","-2800"
"2026/05/14","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/14","売建","100","7603","7660","760300","766000","--","--","--","--","--","1","--","--","--","--","2026/05/18","-5700"
"2026/05/14","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/14","売建","200","7613","7660","1522600","1532000","--","--","--","--","--","1","--","--","--","--","2026/05/18","-9400"
"2026/05/14","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/14","売建","100","7652","7716","765200","771600","--","--","--","--","--","1","--","--","--","--","2026/05/18","-6400"
"2026/05/14","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/14","売建","200","7640","7716","1528000","1543200","--","--","--","--","--","1","--","--","--","--","2026/05/18","-15200"
"2026/05/14","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/14","売建","100","5967","5978","596700","597800","--","--","--","--","--","1","--","--","--","--","2026/05/18","-1100"


