
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年04月30日","2026年04月30日","50","1","50"

決済損益合計
-22762

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","300","6014","6021","1804200","1806300","--","--","--","--","138","1","--","--","--","138","2026/05/07","+1962"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","200","6030","6011","1206000","1202200","--","--","--","--","92","1","--","--","--","92","2026/05/07","-3892"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","300","5976","5955","1792800","1786500","--","--","--","--","137","1","--","--","--","137","2026/05/07","-6437"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","100","5980","5955","598000","595500","--","--","--","--","45","1","--","--","--","45","2026/05/07","-2545"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","100","6014","5991","601400","599100","--","--","--","--","46","1","--","--","--","46","2026/05/07","-2346"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","400","6018","5991","2407200","2396400","--","--","--","--","184","1","--","--","--","184","2026/05/07","-10984"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","100","5977","5955","597700","595500","--","--","--","--","45","1","--","--","--","45","2026/05/07","-2245"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","100","6032","6011","603200","601100","--","--","--","--","46","1","--","--","--","46","2026/05/07","-2146"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","100","5999","6021","599900","602100","--","--","--","--","46","1","--","--","--","46","2026/05/07","+2154"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","200","6028","6011","1205600","1202200","--","--","--","--","92","1","--","--","--","92","2026/05/07","-3492"
"2026/04/30","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","100","6012","6021","601200","602100","--","--","--","--","46","1","--","--","--","46","2026/05/07","+854"
"2026/04/30","ソフトバンクグループ","9984 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","100","5216","5226","521600","522600","--","--","--","--","40","1","--","--","--","40","2026/05/07","+960"
"2026/04/30","ソフトバンクグループ","9984 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","200","5045","5050","1009000","1010000","--","--","--","--","77","1","--","--","--","77","2026/05/07","+923"
"2026/04/30","ソフトバンクグループ","9984 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/30","買建","100","5216","5245","521600","524500","--","--","--","--","40","1","--","--","--","40","2026/05/07","+2860"
