
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月13日","2026年05月14日","13","1","13"

決済損益合計
+3605

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/13","イビデン","4062 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/05/13","買建","100","17140","17080","1714000","1708000","--","--","--","--","131","1","--","--","--","131","2026/05/15","-6131"
"2026/05/13","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/13","買建","100","16990","16885","1699000","1688500","--","--","--","--","--","1","--","--","--","--","2026/05/15","-10500"
"2026/05/13","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/13","買建","100","16590","16515","1659000","1651500","--","--","--","--","--","1","--","--","--","--","2026/05/15","-7500"
"2026/05/13","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/13","買建","100","16500","16655","1650000","1665500","--","--","--","--","--","1","--","--","--","--","2026/05/15","+15500"
"2026/05/13","フジクラ","5803 ","PTS（X）","信用返済売","6ヶ月","特定","申告","東証","2026/05/13","買建","100","7499","7529.4","749900","752940","--","--","--","--","57","1","--","--","--","57","2026/05/15","+2983"
"2026/05/13","フジクラ","5803 ","東証","信用返済売","6ヶ月","特定","申告","PTS","2026/05/13","買建","100","7498.9","7550","749890","755000","--","--","--","--","57","1","--","--","--","57","2026/05/15","+5053"
"2026/05/13","トヨタ自動車","7203 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/13","買建","500","2900","2905","1450000","1452500","--","--","--","--","--","1","--","--","--","--","2026/05/15","+2500"
"2026/05/13","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/13","売建","100","7125","7147","712500","714700","--","--","--","--","--","1","--","--","--","--","2026/05/15","-2200"
"2026/05/13","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/13","売建","100","7145","7148","714500","714800","--","--","--","--","--","1","--","--","--","--","2026/05/15","-300"
"2026/05/13","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/13","売建","100","7145","7147","714500","714700","--","--","--","--","--","1","--","--","--","--","2026/05/15","-200"
"2026/05/13","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/13","売建","300","5824","5814","1747200","1744200","--","--","--","--","--","1","--","--","--","--","2026/05/15","+3000"
"2026/05/13","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/13","売建","200","5849","5838","1169800","1167600","--","--","--","--","--","1","--","--","--","--","2026/05/15","+2200"
"2026/05/13","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/13","売建","100","5830","5838","583000","583800","--","--","--","--","--","1","--","--","--","--","2026/05/15","-800"


