
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年06月08日","2026年06月09日","32","1","32"

決済損益合計
-145800

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/06/08","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","100","17495","17090","1749500","1709000","--","--","--","--","--","1","--","--","--","--","2026/06/10","-40500"
"2026/06/08","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","100","17060","16940","1706000","1694000","--","--","--","--","--","1","--","--","--","--","2026/06/10","-12000"
"2026/06/08","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","300","4465","4491","1339500","1347300","--","--","--","--","--","1","--","--","--","--","2026/06/10","+7800"
"2026/06/08","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","200","4458","4377","891600","875400","--","--","--","--","--","1","--","--","--","--","2026/06/10","-16200"
"2026/06/08","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","100","25580","25600","2558000","2560000","--","--","--","--","--","1","--","--","--","--","2026/06/10","+2000"
"2026/06/08","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","100","14480","14670","1448000","1467000","--","--","--","--","--","1","--","--","--","--","2026/06/10","+19000"
"2026/06/08","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","100","14460","14445","1446000","1444500","--","--","--","--","--","1","--","--","--","--","2026/06/10","-1500"
"2026/06/08","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","100","14700","14595","1470000","1459500","--","--","--","--","--","1","--","--","--","--","2026/06/10","-10500"
"2026/06/08","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","100","14645","14615","1464500","1461500","--","--","--","--","--","1","--","--","--","--","2026/06/10","-3000"
"2026/06/08","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/08","買建","100","14745","14765","1474500","1476500","--","--","--","--","--","1","--","--","--","--","2026/06/10","+2000"
