
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月07日","2026年05月07日","6","1","6"

決済損益合計
+234940

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/07","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/07","買建","100","6255","6297","625500","629700","--","--","--","--","--","1","--","--","--","--","2026/05/11","+4200"
"2026/05/07","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/07","買建","200","6255","6269","1251000","1253800","--","--","--","--","--","1","--","--","--","--","2026/05/11","+2800"
"2026/05/07","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/07","買建","100","6255","6298","625500","629800","--","--","--","--","--","1","--","--","--","--","2026/05/11","+4300"
"2026/05/07","ソフトバンクグループ","9984 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/05/01","買建","100","5392","5937","539200","593700","--","--","--","--","165","4","--","--","--","165","2026/05/11","+54335"
"2026/05/07","ソフトバンクグループ","9984 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/05/01","買建","200","5392","5971","1078400","1194200","--","--","--","--","330","4","--","--","--","330","2026/05/11","+115470"
"2026/05/07","ソフトバンクグループ","9984 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/05/01","買建","100","5392","5932","539200","593200","--","--","--","--","165","4","--","--","--","165","2026/05/11","+53835"


