
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年06月01日","2026年06月01日","20","1","20"

決済損益合計
+48500

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/06/01","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","100","22285","22590","2228500","2259000","--","--","--","--","--","1","--","--","--","--","2026/06/03","+30500"
"2026/06/01","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","200","4864","4813","972800","962600","--","--","--","--","--","1","--","--","--","--","2026/06/03","-10200"
"2026/06/01","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","200","4866","4813","973200","962600","--","--","--","--","--","1","--","--","--","--","2026/06/03","-10600"
"2026/06/01","ＴＤＫ","6762 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","100","4065","4086","406500","408600","--","--","--","--","--","1","--","--","--","--","2026/06/03","+2100"
"2026/06/01","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","100","15095","15270","1509500","1527000","--","--","--","--","--","1","--","--","--","--","2026/06/03","+17500"
"2026/06/01","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","100","7239","7240","723900","724000","--","--","--","--","--","1","--","--","--","--","2026/06/03","+100"
"2026/06/01","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","100","7239","7239","723900","723900","--","--","--","--","--","1","--","--","--","--","2026/06/03","--"
"2026/06/01","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","100","7888","7909","788800","790900","--","--","--","--","--","1","--","--","--","--","2026/06/03","+2100"
"2026/06/01","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","100","7896","7909","789600","790900","--","--","--","--","--","1","--","--","--","--","2026/06/03","+1300"
"2026/06/01","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","200","8273","8289","1654600","1657800","--","--","--","--","--","1","--","--","--","--","2026/06/03","+3200"
"2026/06/01","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/01","買建","200","7833","7839","1566600","1567800","--","--","--","--","--","1","--","--","--","--","2026/06/03","+1200"
"2026/06/01","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/01","売建","100","4776","4729","477600","472900","--","--","--","--","--","1","--","--","--","--","2026/06/03","+4700"
"2026/06/01","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/01","売建","100","4776","4732","477600","473200","--","--","--","--","--","1","--","--","--","--","2026/06/03","+4400"
"2026/06/01","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/01","売建","100","4733","4726","473300","472600","--","--","--","--","--","1","--","--","--","--","2026/06/03","+700"
"2026/06/01","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/01","売建","200","4730","4724","946000","944800","--","--","--","--","--","1","--","--","--","--","2026/06/03","+1200"
"2026/06/01","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/01","売建","100","4776","4731","477600","473100","--","--","--","--","--","1","--","--","--","--","2026/06/03","+4500"
"2026/06/01","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/01","売建","100","4733","4724","473300","472400","--","--","--","--","--","1","--","--","--","--","2026/06/03","+900"
"2026/06/01","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/01","売建","200","4578","4585","915600","917000","--","--","--","--","--","1","--","--","--","--","2026/06/03","-1400"
"2026/06/01","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/01","売建","100","4787","4729","478700","472900","--","--","--","--","--","1","--","--","--","--","2026/06/03","+5800"
"2026/06/01","太陽誘電","6976 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/01","売建","100","15005","15100","1500500","1510000","--","--","--","--","--","1","--","--","--","--","2026/06/03","-9500"


