
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年06月03日","2026年06月03日","11","1","11"

決済損益合計
+48300

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/06/03","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/03","買建","100","22085","21880","2208500","2188000","--","--","--","--","--","1","--","--","--","--","2026/06/05","-20500"
"2026/06/03","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/03","買建","200","4905","4922","981000","984400","--","--","--","--","--","1","--","--","--","--","2026/06/05","+3400"
"2026/06/03","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/03","買建","100","4905","4966","490500","496600","--","--","--","--","--","1","--","--","--","--","2026/06/05","+6100"
"2026/06/03","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/03","買建","100","4905","4913","490500","491300","--","--","--","--","--","1","--","--","--","--","2026/06/05","+800"
"2026/06/03","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/03","買建","100","4872","5042","487200","504200","--","--","--","--","--","1","--","--","--","--","2026/06/05","+17000"
"2026/06/03","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/03","買建","100","4879","4966","487900","496600","--","--","--","--","--","1","--","--","--","--","2026/06/05","+8700"
"2026/06/03","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/03","買建","100","10595","10765","1059500","1076500","--","--","--","--","--","1","--","--","--","--","2026/06/05","+17000"
"2026/06/03","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/03","買建","100","8602","8532","860200","853200","--","--","--","--","--","1","--","--","--","--","2026/06/05","-7000"
"2026/06/03","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/03","買建","100","8569","8532","856900","853200","--","--","--","--","--","1","--","--","--","--","2026/06/05","-3700"
"2026/06/03","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/03","売建","100","8529","8407","852900","840700","--","--","--","--","--","1","--","--","--","--","2026/06/05","+12200"
"2026/06/03","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/03","売建","100","8529","8386","852900","838600","--","--","--","--","--","1","--","--","--","--","2026/06/05","+14300"


