
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月08日","2026年05月08日","9","1","9"

決済損益合計
+26000

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/08","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/08","買建","100","6199","6220","619900","622000","--","--","--","--","--","1","--","--","--","--","2026/05/12","+2100"
"2026/05/08","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/08","買建","200","6131","6151","1226200","1230200","--","--","--","--","--","1","--","--","--","--","2026/05/12","+4000"
"2026/05/08","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/08","買建","100","6116","6220","611600","622000","--","--","--","--","--","1","--","--","--","--","2026/05/12","+10400"
"2026/05/08","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/08","買建","100","6116","6102","611600","610200","--","--","--","--","--","1","--","--","--","--","2026/05/12","-1400"
"2026/05/08","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/08","買建","100","6092","6102","609200","610200","--","--","--","--","--","1","--","--","--","--","2026/05/12","+1000"
"2026/05/08","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/08","買建","100","6104","6102","610400","610200","--","--","--","--","--","1","--","--","--","--","2026/05/12","-200"
"2026/05/08","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/08","買建","100","6199","6200","619900","620000","--","--","--","--","--","1","--","--","--","--","2026/05/12","+100"
"2026/05/08","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/08","買建","200","6115","6155","1223000","1231000","--","--","--","--","--","1","--","--","--","--","2026/05/12","+8000"
"2026/05/08","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/08","買建","100","6131","6151","613100","615100","--","--","--","--","--","1","--","--","--","--","2026/05/12","+2000"


