
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月25日","2026年05月25日","9","1","9"

決済損益合計
+20200

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/25","ＪＸ金属","5016 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/25","買建","200","4338","4310","867600","862000","--","--","--","--","--","1","--","--","--","--","2026/05/27","-5600"
"2026/05/25","ＪＸ金属","5016 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/25","買建","100","4339","4310","433900","431000","--","--","--","--","--","1","--","--","--","--","2026/05/27","-2900"
"2026/05/25","住友電気工業","5802 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/25","買建","100","12235","12435","1223500","1243500","--","--","--","--","--","1","--","--","--","--","2026/05/27","+20000"
"2026/05/25","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/25","買建","100","5188","5204","518800","520400","--","--","--","--","--","1","--","--","--","--","2026/05/27","+1600"
"2026/05/25","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/25","買建","100","5219","5238","521900","523800","--","--","--","--","--","1","--","--","--","--","2026/05/27","+1900"
"2026/05/25","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/25","買建","100","5209","5205","520900","520500","--","--","--","--","--","1","--","--","--","--","2026/05/27","-400"
"2026/05/25","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/25","買建","300","5195","5204","1558500","1561200","--","--","--","--","--","1","--","--","--","--","2026/05/27","+2700"
"2026/05/25","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/25","買建","100","5219","5244","521900","524400","--","--","--","--","--","1","--","--","--","--","2026/05/27","+2500"
"2026/05/25","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/25","買建","100","5201","5205","520100","520500","--","--","--","--","--","1","--","--","--","--","2026/05/27","+400"


