
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年06月02日","2026年06月02日","9","1","9"

決済損益合計
+20900

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/06/02","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/02","買建","100","25770","25720","2577000","2572000","--","--","--","--","--","1","--","--","--","--","2026/06/04","-5000"
"2026/06/02","太陽誘電","6976 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/02","買建","100","15000","15325","1500000","1532500","--","--","--","--","--","1","--","--","--","--","2026/06/04","+32500"
"2026/06/02","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/02","買建","200","10165","10215","2033000","2043000","--","--","--","--","--","1","--","--","--","--","2026/06/04","+10000"
"2026/06/02","村田製作所","6981 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/02","買建","100","10215","10205","1021500","1020500","--","--","--","--","--","1","--","--","--","--","2026/06/04","-1000"
"2026/06/02","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/02","買建","100","8467","8540","846700","854000","--","--","--","--","--","1","--","--","--","--","2026/06/04","+7300"
"2026/06/02","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/06/02","買建","200","8496","8550","1699200","1710000","--","--","--","--","--","1","--","--","--","--","2026/06/04","+10800"
"2026/06/02","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/02","売建","200","4367","4433","873400","886600","--","--","--","--","--","1","--","--","--","--","2026/06/04","-13200"
"2026/06/02","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/02","売建","100","4387","4434","438700","443400","--","--","--","--","--","1","--","--","--","--","2026/06/04","-4700"
"2026/06/02","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/06/02","売建","200","4354","4433","870800","886600","--","--","--","--","--","1","--","--","--","--","2026/06/04","-15800"


